Nx=128, Ny=64, Nz=1
dx=2.449490, dy=0.204124, dz=0.204124
0.159403 0.840593 16.952087 -19.443698
0.381292 0.618705 4.274508 -18.808043
0.696273 0.303730 -4.363541 -8.547378
0.881998 0.118005 -4.203948 2.755788
0.951026 0.048974 -3.770677 7.330871
0.975061 0.024939 -3.875233 8.668439
0.982921 0.017079 -4.013009 9.002232
0.983228 0.016772 -4.017230 9.016473
0.976306 0.023694 -3.885406 8.732944
0.954572 0.045428 -3.760607 7.553731
0.892105 0.107893 -4.118321 3.448056
0.720728 0.279269 -4.569021 -7.285159
0.409687 0.590315 3.001636 -18.377070
0.172393 0.827610 16.069669 -19.546791
0.076390 0.923611 22.047814 -19.328791
0.044226 0.955774 23.309157 -19.997293
0.037939 0.962061 23.414348 -20.269334
0.050764 0.949236 23.136255 -19.777922
0.097103 0.902896 20.889788 -19.244057
0.231066 0.768930 12.265799 -19.830251
0.518249 0.481751 -0.975070 -15.840294
0.796221 0.203783 -4.786002 -2.972974
0.921346 0.078656 -3.919885 5.400781
0.964592 0.035408 -3.760667 8.154845
0.978478 0.021522 -3.861321 8.887374
0.979438 0.020562 -3.896555 8.909747
0.968633 0.031366 -3.831419 8.326600
0.933395 0.066604 -3.931265 6.112466
0.830257 0.169740 -4.751232 -0.895644
0.580967 0.419032 -2.689979 -13.791791
0.274543 0.725460 9.725052 -19.762380
0.114840 0.885161 20.043193 -19.026410
0.059210 0.940790 23.241447 -19.165923
0.044913 0.955087 23.776379 -19.488854
0.054816 0.945184 23.424459 -19.246611
0.100556 0.899443 20.964055 -18.962591
0.235811 0.764185 12.095795 -19.715507
0.523132 0.476868 -1.108513 -15.680741
0.797924 0.202079 -4.823485 -2.908224
0.921497 0.078505 -3.989116 5.340610
0.964852 0.035149 -3.846704 8.084368
0.979985 0.020015 -3.983328 8.855756
0.984391 0.015609 -4.047880 9.055559
0.982692 0.017307 -3.990831 9.010720
0.973081 0.026919 -3.817462 8.607394
0.944753 0.055247 -3.757960 6.967247
0.863034 0.136965 -4.363150 1.458964
0.650223 0.349775 -3.887824 -10.834313
0.331398 0.668604 6.563166 -19.512920
0.135907 0.864094 18.417360 -19.388218
0.063460 0.936540 22.679295 -19.473079
0.040769 0.959231 23.444699 -20.069177
0.040864 0.959136 23.441301 -20.066893
0.064018 0.935982 22.623082 -19.495865
0.138889 0.861109 18.095244 -19.531423
0.342524 0.657474 5.744414 -19.664209
0.666783 0.333219 -4.391780 -10.344960
0.872805 0.127197 -4.440690 1.967497
0.948316 0.051685 -3.723153 7.215749
0.971203 0.028798 -3.634275 8.677874
0.971455 0.028545 -3.614285 8.712999
0.949406 0.050593 -3.658354 7.346038
0.876356 0.123643 -4.318901 2.302528
0.675495 0.324503 -4.417482 -9.847608
0.351317 0.648686 5.299958 -19.581011
0.142157 0.857845 17.718431 -19.712149
0.063956 0.936044 22.301827 -19.820790
0.038340 0.961660 23.058246 -20.601369
0.034530 0.965471 23.078354 -20.809883
0.048326 0.951674 22.884625 -20.175835
0.094539 0.905460 20.828209 -19.459441
0.226260 0.773737 12.526069 -19.858346
0.510053 0.489947 -0.604413 -15.961407
0.790142 0.209861 -4.613255 -3.164901
0.918413 0.081589 -3.804476 5.340209
0.963662 0.036339 -3.707322 8.152363
0.979672 0.020328 -3.923856 8.896479
0.984891 0.015109 -4.093300 9.040164
0.984911 0.015089 -4.118024 9.016636
0.979807 0.020193 -3.993465 8.834962
0.964271 0.035729 -3.803437 8.092817
0.920612 0.079387 -3.888089 5.388707
0.797252 0.202745 -4.659140 -2.783867
0.524183 0.475817 -0.987321 -15.496215
0.237242 0.762761 12.015245 -19.710245
0.100398 0.899603 20.738062 -19.198078
0.052174 0.947826 23.071048 -19.758534
0.038039 0.961961 23.365385 -20.312278
0.042530 0.957470 23.308404 -20.099786
0.070361 0.929639 22.348826 -19.389541
0.153667 0.846330 17.353720 -19.386223
0.367642 0.632355 4.945894 -18.955661
0.682861 0.317142 -4.187207 -9.175769
0.875819 0.124184 -4.228954 2.360039
0.948576 0.051425 -3.772847 7.181664
0.974090 0.025911 -3.883511 8.601852
0.982798 0.017202 -4.054448 8.953431
0.984235 0.015765 -4.088835 9.005254
0.979853 0.020147 -3.983181 8.848021
0.965054 0.034946 -3.797694 8.145555
0.922969 0.077030 -3.870934 5.547284
0.803580 0.196417 -4.645520 -2.390535
0.534905 0.465095 -1.302165 -15.167743
0.243956 0.756047 11.595192 -19.727462
0.102775 0.897226 20.581756 -19.211727
0.052834 0.947166 23.033031 -19.756908
0.037925 0.962075 23.348298 -20.336201
0.074098 0.925901 22.130747 -19.383366
0.114127 0.885871 19.852674 -19.259683
0.226857 0.773139 12.623369 -19.725224
0.469351 0.530648 0.732498 -17.066610
0.746837 0.253167 -4.644311 -5.794349
0.897201 0.102801 -4.057504 3.814448
0.954935 0.045065 -3.757716 7.578358
0.976132 0.023868 -3.899504 8.708398
0.983597 0.016403 -4.059245 8.996601
0.984843 0.015157 -4.092286 9.038302
0.981028 0.018972 -3.993042 8.908617
0.968460 0.031540 -3.809610 8.337982
0.934071 0.065928 -3.804999 6.279328
0.840644 0.159353 -4.492045 -0.013265
0.623246 0.376752 -3.354585 -11.919651
0.335014 0.664987 6.496196 -19.362913
0.158830 0.841171 16.973254 -19.456936
0.088926 0.911074 21.361918 -19.262522
0.068173 0.931826 22.430184 -19.439415
0.076022 0.923977 22.058246 -19.340417
0.120200 0.879798 19.484169 -19.263828
0.242782 0.757214 11.644006 -19.749081
0.496867 0.503132 -0.214607 -16.362757
0.766933 0.233071 -4.711526 -4.655765
0.905747 0.094255 -4.002772 4.381947
0.958238 0.041763 -3.762066 7.772164
0.977407 0.022593 -3.905765 8.778671
0.983883 0.016117 -4.037304 9.035690
0.984147 0.015853 -4.040177 9.048646
0.978440 0.021560 -3.914621 8.831797
0.961057 0.038943 -3.759456 7.943963
0.913356 0.086642 -3.941335 4.900112
0.785643 0.214355 -4.727376 -3.548659
0.524595 0.475405 -1.098161 -15.582377
0.259558 0.740444 10.604361 -19.782150
0.126351 0.873650 19.084450 -19.294519
0.077784 0.922216 21.999202 -19.293785
0.068091 0.931908 22.488863 -19.385663
0.087595 0.912404 21.487320 -19.216992
0.156056 0.843941 17.172205 -19.424402
0.331259 0.668737 6.650699 -19.433801
0.621750 0.378253 -3.397497 -12.052755
0.841465 0.158539 -4.545094 -0.017382
0.935094 0.064907 -3.811243 6.334338
0.968853 0.031147 -3.772111 8.399079
0.980133 0.019868 -3.889998 8.957948
0.980964 0.019036 -3.921647 8.976183
0.972276 0.027724 -3.847753 8.528836
0.945016 0.054983 -3.848863 6.892134
0.869313 0.130685 -4.445672 1.753224
0.682335 0.317663 -4.369337 -9.389092
0.394546 0.605455 3.592254 -18.694958
0.191912 0.808089 14.907000 -19.538293
0.108242 0.891758 20.460893 -19.004595
0.085563 0.914436 21.858447 -18.967772
0.101405 0.898594 20.877841 -18.997861
0.171514 0.828483 16.232897 -19.436243
0.350582 0.649415 5.645769 -19.279378
0.636182 0.363821 -3.729626 -11.518953
0.846557 0.153447 -4.601620 0.231607
0.936381 0.063621 -3.887709 6.335067
0.969455 0.030546 -3.860806 8.346459
0.981532 0.018468 -4.003863 8.928037
0.985144 0.014856 -4.066445 9.082224
0.983721 0.016279 -4.010792 9.052485
0.975863 0.024137 -3.846261 8.745521
0.953448 0.046552 -3.734486 7.512420
0.891750 0.108249 -4.130201 3.414833
0.731009 0.268990 -4.677830 -6.777203
0.444718 0.555282 1.498825 -17.778038
0.210327 0.789674 13.572410 -19.767975
0.106579 0.893421 20.358008 -19.207225
0.072108 0.927892 22.373550 -19.259959
0.072102 0.927897 22.398581 -19.235284
0.106738 0.893261 20.402144 -19.153594
0.212154 0.787843 13.475049 -19.755680
0.451832 0.548167 1.163831 -17.686370
0.740203 0.259800 -4.826712 -6.374693
0.897297 0.102704 -4.129897 3.747856
0.955392 0.044609 -3.666578 7.696901
0.973783 0.026218 -3.644892 8.822056
0.973912 0.026088 -3.627595 8.847111
0.955879 0.044121 -3.612606 7.780130
0.898505 0.101494 -4.038215 3.912145
0.741970 0.258028 -4.747938 -6.189621
0.450875 0.549126 1.237879 -17.669574
0.207616 0.792386 13.700580 -19.802472
0.100664 0.899336 20.594893 -19.325262
0.063886 0.936114 22.521888 -19.604975
0.058508 0.941492 22.707970 -19.741556
0.078840 0.921160 21.765061 -19.464556
0.145505 0.854493 17.713249 -19.516458
0.317061 0.682935 7.347981 -19.588372
0.609108 0.390894 -3.085317 -12.499057
0.835376 0.164627 -4.451835 -0.289455
0.932618 0.067383 -3.722935 6.274115
0.968148 0.031852 -3.732288 8.396589
0.981199 0.018801 -3.952623 8.959288
0.985556 0.014444 -4.110012 9.063354
0.985576 0.014424 -4.134485 9.040052
0.981342 0.018658 -4.019899 8.900596
0.968795 0.031205 -3.826583 8.341146
0.934997 0.065002 -3.804619 6.335261
0.843494 0.156504 -4.468733 0.181029
0.629665 0.370334 -3.450400 -11.630382
0.341504 0.658498 6.185896 -19.283845
0.162344 0.837657 16.750861 -19.468527
0.090579 0.909422 21.262743 -19.262543
0.068847 0.931153 22.383634 -19.445567
0.075780 0.924220 22.052981 -19.360245
0.118157 0.881841 19.602585 -19.267990
0.236214 0.763782 12.048134 -19.739011
0.484501 0.515498 0.210913 -16.679191
0.757394 0.242609 -4.672958 -5.189531
0.901403 0.098600 -4.024025 4.100018
0.956400 0.043601 -3.762373 7.661566
0.976639 0.023361 -3.914890 8.723440
0.983781 0.016219 -4.075816 8.991062
0.984979 0.015021 -4.109610 9.029121
0.981341 0.018659 -4.009819 8.910620
0.969365 0.030635 -3.821217 8.380693
0.936674 0.063325 -3.790916 6.449595
0.847886 0.152112 -4.435645 0.477646
0.638099 0.361900 -3.588316 -11.262237
0.348611 0.651391 5.831448 -19.211851
0.165160 0.834841 16.562271 -19.488111
0.091176 0.908824 21.222181 -19.267263
0.068328 0.931672 22.400050 -19.460276
0.168402 0.831596 16.323018 -19.532849
0.239677 0.760319 11.805047 -19.774303
0.404802 0.595195 3.218733 -18.453238
0.647129 0.352874 -3.756623 -10.889151
0.836419 0.163584 -4.522916 -0.297960
0.927862 0.072139 -3.832044 5.879627
0.964894 0.035106 -3.777292 8.156327
0.979518 0.020482 -3.952154 8.858945
0.984922 0.015078 -4.096135 9.039200
0.985841 0.014159 -4.127738 9.062716
0.983048 0.016952 -4.036073 8.986804
0.974142 0.025858 -3.858907 8.629615
0.951203 0.048797 -3.745501 7.366704
0.893422 0.106577 -4.098463 3.546924
0.758286 0.241713 -4.696809 -5.159565
0.527284 0.472716 -1.173301 -15.496189
0.311033 0.688967 7.717210 -19.580806
0.195826 0.804173 14.546972 -19.663443
0.157279 0.842719 17.070655 -19.452573
0.171978 0.828020 16.112512 -19.528813
0.249662 0.750334 11.222510 -19.757778
0.424238 0.575760 2.415665 -18.090195
0.668152 0.331851 -4.045925 -9.917050
0.848452 0.151551 -4.456646 0.490302
0.933090 0.066912 -3.808343 6.216958
0.967091 0.032909 -3.788648 8.276817
0.980430 0.019570 -3.956890 8.908927
0.985145 0.014855 -4.076417 9.072256
0.985344 0.014656 -4.078740 9.081930
0.981190 0.018810 -3.963255 8.948164
0.969053 0.030947 -3.790937 8.392257
0.937955 0.062044 -3.779881 6.537480
0.859960 0.140039 -4.388184 1.249493
0.688998 0.311001 -4.315731 -8.935772
0.444125 0.555875 1.585557 -17.726913
0.259383 0.740617 10.624838 -19.772160
0.174760 0.825239 15.956271 -19.518112
0.156370 0.843629 17.199277 -19.378543
0.192096 0.807901 14.875480 -19.558733
0.304460 0.695537 8.145818 -19.546618
0.520237 0.479763 -0.933333 -15.679269
0.754998 0.245006 -4.691140 -5.351501
0.892906 0.107096 -4.112232 3.502007
0.951450 0.048551 -3.736865 7.390098
0.974238 0.025762 -3.817614 8.676636
0.982315 0.017685 -3.941685 9.037190
0.982974 0.017026 -3.968506 9.049914
0.976860 0.023140 -3.890640 8.760974
0.958709 0.041291 -3.804411 7.758153
0.912401 0.087598 -4.048036 4.736078
0.802119 0.197880 -4.811984 -2.644761
0.597905 0.402094 -3.017770 -13.103400
0.377834 0.622166 4.355718 -18.934231
0.248438 0.751561 11.286059 -19.767679
0.207612 0.792386 13.827291 -19.676008
0.236794 0.763202 11.961011 -19.791311
0.350049 0.649947 5.625997 -19.331079
0.559519 0.440482 -2.196576 -14.585613
0.774879 0.225124 -4.883848 -4.351304
0.899681 0.100321 -4.175273 3.845469
0.953501 0.046499 -3.820050 7.430002
0.975059 0.024941 -3.897648 8.645871
0.983464 0.016536 -4.027945 9.019899
0.986062 0.013938 -4.082103 9.121643
0.985014 0.014986 -4.032361 9.108468
0.979349 0.020651 -3.892079 8.908889
0.963944 0.036056 -3.744123 8.132541
0.924488 0.075511 -3.871343 5.637970
0.826244 0.173755 -4.658976 -1.044291
0.625557 0.374442 -3.532240 -11.958737
0.381290 0.618710 4.172436 -18.910133
0.225157 0.774842 12.727290 -19.723261
0.163071 0.836928 16.831437 -19.344270
0.162383 0.837616 16.945555 -19.271473
0.222972 0.777025 13.040903 -19.540749
0.378387 0.621611 4.503919 -18.752918
0.624894 0.375108 -3.383152 -11.849680
0.827742 0.172260 -4.584681 -0.880289
0.925894 0.074107 -3.807875 5.785693
0.964177 0.035823 -3.646330 8.244296
0.977135 0.022865 -3.689469 8.978604
0.977133 0.022867 -3.673744 8.994229
0.964073 0.035927 -3.600358 8.284034
0.925087 0.074912 -3.743392 5.801877
0.823589 0.176409 -4.514614 -1.059184
0.610976 0.389024 -3.036915 -12.338292
0.355072 0.644929 5.668315 -18.987333
0.197903 0.802097 14.642834 -19.442981
0.134916 0.865083 18.715595 -19.149428
0.125851 0.874148 19.231125 -19.177816
0.163163 0.836835 16.712223 -19.457985
0.273489 0.726508 9.790016 -19.760666
0.492625 0.507375 -0.121995 -16.524655
0.740755 0.259249 -4.619480 -6.134413
0.887786 0.112216 -4.082324 3.224746
0.949661 0.050340 -3.671290 7.348314
0.973818 0.026182 -3.787143 8.681914
0.983188 0.016812 -3.997066 9.034223
0.986417 0.013583 -4.137249 9.087784
0.986434 0.013566 -4.160127 9.065911
0.983329 0.016671 -4.059903 8.979815
0.974444 0.025556 -3.877585 8.629047
0.951926 0.048074 -3.755404 7.400154
0.895434 0.104564 -4.086815 3.679312
0.763226 0.236772 -4.704432 -4.870771
0.535005 0.464995 -1.387447 -15.247078
0.317488 0.682513 7.372742 -19.537985
0.199770 0.800230 14.279937 -19.693865
0.159444 0.840555 16.901759 -19.491613
0.172549 0.827448 16.041945 -19.565079
0.247669 0.752327 11.310449 -19.789380
0.417994 0.582004 2.652072 -18.228384
0.660125 0.339878 -3.947676 -10.300411
0.843339 0.156664 -4.485751 0.154410
0.930632 0.069369 -3.818590 6.059258
0.965933 0.034067 -3.786670 8.209286
0.979896 0.020104 -3.966353 8.867430
0.985061 0.014939 -4.110862 9.032800
0.985940 0.014060 -4.143037 9.053372
0.983274 0.016726 -4.051726 8.984731
0.974771 0.025229 -3.872679 8.653567
0.952890 0.047110 -3.745541 7.467868
0.897812 0.102187 -4.056481 3.852289
0.768073 0.231925 -4.700442 -4.575929
0.540832 0.459168 -1.538859 -15.048891
0.320422 0.679578 7.225097 -19.509552
0.199807 0.800192 14.283525 -19.688046
0.157522 0.842477 17.034649 -19.474017
0.400740 0.599258 3.384940 -18.530714
0.498566 0.501434 -0.297650 -16.343844
0.657784 0.342219 -3.933574 -10.426775
0.810510 0.189494 -4.665442 -1.995060
0.906095 0.093907 -4.004410 4.401157
0.952892 0.047109 -3.745720 7.467756
0.973757 0.026244 -3.849824 8.615559
0.982714 0.017286 -4.020106 8.982708
0.986199 0.013801 -4.137196 9.074741
0.986803 0.013197 -4.161777 9.086432
0.984985 0.015015 -4.087148 9.051975
0.979369 0.020631 -3.935695 8.866456
0.965841 0.034159 -3.775640 8.214837
0.934876 0.065124 -3.802681 6.329879
0.867538 0.132461 -4.338217 1.754123
0.742353 0.257646 -4.681691 -6.100467
0.576535 0.423465 -2.463301 -13.831219
0.441522 0.558478 1.710923 -17.757798
0.383221 0.616777 4.170440 -18.796322
0.406174 0.593824 3.171638 -18.417962
0.510170 0.489830 -0.642447 -15.992386
0.672090 0.327913 -4.103365 -9.738182
0.821257 0.178746 -4.618723 -1.303481
0.911902 0.088100 -3.958991 4.795042
0.955651 0.044349 -3.748295 7.630739
0.975046 0.024954 -3.864417 8.678344
0.983301 0.016699 -4.025349 9.012727
0.986366 0.013634 -4.122544 9.099438
0.986506 0.013494 -4.122100 9.108261
0.983814 0.016186 -4.025373 9.043473
0.976277 0.023723 -3.865815 8.750827
0.958411 0.041589 -3.742400 7.802281
0.917809 0.082191 -3.921309 5.187236
0.832212 0.167787 -4.597328 -0.624553
0.686491 0.313508 -4.310679 -9.081172
0.520944 0.479056 -0.999926 -15.703304
0.409537 0.590462 3.040735 -18.347048
0.380249 0.619749 4.370577 -18.774528
0.433831 0.566168 2.111323 -17.818920
0.566859 0.433142 -2.134231 -14.082873
0.735152 0.264852 -4.580539 -6.431661
0.864202 0.135801 -4.330274 1.561714
0.933787 0.066214 -3.796038 6.271104
0.965607 0.034393 -3.761980 8.214411
0.979263 0.020737 -3.903218 8.892549
0.984438 0.015562 -4.017746 9.088534
0.984912 0.015088 -4.039995 9.094721
0.981097 0.018903 -3.966116 8.939699
0.970409 0.029591 -3.843809 8.420726
0.945739 0.054261 -3.824264 6.960064
0.892605 0.107395 -4.218930 3.377377
0.793007 0.206993 -4.835274 -3.214851
0.654551 0.345450 -4.015514 -10.702502
0.534010 0.465990 -1.477683 -15.397149
0.484712 0.515288 0.036508 -16.840863
0.521278 0.478722 -1.150455 -15.833917
0.633378 0.366624 -3.758445 -11.715966
0.773474 0.226530 -4.918544 -4.470333
0.880627 0.119375 -4.372047 2.505471
0.939748 0.060253 -3.872546 6.552273
0.967568 0.032432 -3.832096 8.261974
0.979876 0.020124 -3.947677 8.884885
0.984997 0.015003 -4.053740 9.086065
0.986626 0.013374 -4.095392 9.142153
0.985956 0.014044 -4.056114 9.141255
0.982380 0.017620 -3.945173 9.037648
0.973060 0.026940 -3.801163 8.622412
0.950984 0.049016 -3.748085 7.350955
0.900790 0.099210 -4.101125 3.986285
0.797970 0.202030 -4.794261 -2.876048
0.637093 0.362907 -3.706562 -11.440987
0.477956 0.522044 0.394772 -16.887886
0.389221 0.610779 4.022520 -18.584277
0.386639 0.613359 4.234820 -18.526871
0.470681 0.529318 0.896641 -16.822597
0.628270 0.371732 -3.266920 -11.530878
0.792059 0.207944 -4.567776 -3.004388
0.898141 0.101861 -3.976579 3.951786
0.949930 0.050071 -3.659096 7.376665
0.972231 0.027769 -3.705287 8.668592
0.980387 0.019613 -3.783368 9.079874
0.980294 0.019706 -3.769486 9.088181
0.971769 0.028231 -3.664927 8.681224
0.948227 0.051773 -3.602756 7.330889
0.892246 0.107753 -3.936957 3.637846
0.774249 0.225751 -4.453607 -3.958638
0.589369 0.410630 -2.362009 -12.959814
0.413936 0.586064 3.244739 -17.879093
0.318045 0.681954 7.733468 -19.143857
0.303933 0.696065 8.377434 -19.346573
0.367964 0.632034 5.004553 -18.877665
0.515751 0.484249 -0.795245 -15.810305
0.707028 0.292975 -4.455937 -7.994461
0.853497 0.146506 -4.411870 0.837799
0.930350 0.069651 -3.773799 6.087160
0.964532 0.035468 -3.702166 8.209754
0.979090 0.020910 -3.865920 8.919464
0.985087 0.014913 -4.042323 9.102921
0.987214 0.012786 -4.154983 9.117865
0.987227 0.012773 -4.175811 9.097815
0.985204 0.014796 -4.100788 9.051444
0.979614 0.020386 -3.950512 8.866325
0.966355 0.033645 -3.789937 8.231352
0.936113 0.063887 -3.806476 6.400321
0.870430 0.129569 -4.321617 1.944231
0.747972 0.252027 -4.703637 -5.785280
0.584128 0.415872 -2.638817 -13.551157
0.448525 0.551474 1.430731 -17.617770
0.388276 0.611723 3.917481 -18.745988
0.408821 0.591177 3.023217 -18.407568
0.509805 0.490195 -0.669055 -16.040913
0.669164 0.330839 -4.097597 -9.907958
0.818100 0.181903 -4.648206 -1.522393
0.909839 0.090163 -3.979945 4.650308
0.954508 0.045492 -3.748084 7.562378
0.974418 0.025582 -3.859784 8.645288
0.982966 0.017034 -4.030029 8.987939
0.986289 0.013711 -4.146831 9.070497
0.986863 0.013137 -4.172629 9.079124
0.985125 0.014875 -4.099914 9.047588
0.979753 0.020247 -3.949064 8.876119
0.966801 0.033199 -3.784067 8.263997
0.937135 0.062865 -3.789840 6.478276
0.872397 0.127602 -4.292707 2.091186
0.750620 0.249379 -4.699211 -5.621963
0.585551 0.414449 -2.659778 -13.486735
0.446981 0.553019 1.499246 -17.641921
0.383546 0.616453 4.142176 -18.805089
0.710913 0.289089 -4.490637 -7.795994
0.769117 0.230886 -4.730482 -4.543658
0.844970 0.155033 -4.503466 0.234552
0.908107 0.091895 -4.005607 4.520691
0.947985 0.052016 -3.764100 7.154962
0.969494 0.030506 -3.805621 8.404028
0.980131 0.019869 -3.945146 8.902699
0.985023 0.014977 -4.077383 9.063980
0.986987 0.013013 -4.160294 9.098914
0.987329 0.012671 -4.176426 9.103307
0.986298 0.013702 -4.122921 9.094972
0.983173 0.016827 -4.010940 9.019458
0.976006 0.023994 -3.868654 8.731717
0.960972 0.039028 -3.761587 7.936748
0.931631 0.068369 -3.841059 6.096794
0.880548 0.119452 -4.251506 2.621368
0.808518 0.191482 -4.699483 -2.148411
